,accuracy,auc
0,0.535,0.545
1,0.77,0.7826
2,0.91,0.9777800324675325
3,0.78,0.862442202606137
4,0.98,0.9854135338345864
5,0.985,0.998021978021978
6,1.0,1.0
7,0.865,0.9640079865489701
8,0.85,0.9151
9,0.815,0.8959055320241304
10,0.985,0.9977260914760915
11,0.985,0.9985881144910794
12,0.78,0.860480041073033
