,accuracy,auc
0,0.375,0.625
1,0.5,0.5625
2,0.75,0.9166666666666667
3,0.125,0.25
4,0.375,0.5333333333333333
5,0.75,0.8333333333333334
6,0.625,0.25
7,0.5,0.75
8,0.75,1.0
9,0.75,0.8333333333333333
10,0.625,0.6
11,0.875,0.9166666666666667
12,0.75,0.6666666666666666
