,accuracy,auc,datasets_list
0,0.991,0.9994639463946394,"[1, 3]"
1,0.93993993993994,0.9866181514414002,"[3, 9, 10]"
2,0.926,0.98168,"[1, 5, 6, 11, 12]"
3,0.936,0.9833033989223612,"[1, 3, 7, 9]"
4,0.937,0.9794305764411029,"[2, 3, 4, 5, 6, 8, 10, 12]"
5,0.919,0.9758269771176235,"[2, 3, 5, 6, 8, 9, 10, 11]"
6,0.932,0.9817071462587893,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12]"
7,0.9049049049049049,0.9683539483915445,"[1, 4, 5, 6, 7, 8, 10, 11, 12]"
8,0.9255533199195171,0.9788083550615532,"[2, 3, 4, 5, 7, 8, 10]"
9,0.901,0.959437837751351,"[4, 5, 6, 7, 8, 10, 11, 12]"
10,0.868,0.9417470679530873,"[5, 6, 7, 9, 10]"
